,ConfirmedCases,Fatalities,R,HospitalizedCases,CriticalCases,Date,CountryName,ExposedCases,RecoveredCases,InfectiousCases,t_hosp,t_crit,m,c,f
2020-03-02,4.253880564911294,0.0010606830162283728,2.6968637671072213,0.14102661593233298,0.34463016656561923,2020-03-02,Kuwait,-0.6281867131438805,0.4867174655141831,3.280445633882931,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-03,3.8263816143149074,0.002058430508769909,2.696715890180781,0.9438052453369411,0.31130188505163836,2020-03-03,Kuwait,3.9530322600722188,1.2571655608973502,1.312050492520208,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-04,3.842558710566345,0.0031206319923336788,2.696472434910496,1.5627098295201274,0.32325195011991853,2020-03-04,Kuwait,7.343469196043977,1.8890824116323792,0.06439388730158614,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-05,5.101285649102104,0.004015855709930689,2.696093171009362,1.5202543919087015,0.4592059886955185,2020-03-05,Kuwait,6.595132857460542,1.9834762363141467,1.1343331764738067,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-06,7.243299552227331,0.004906934659499842,2.6955279508632706,1.0554898843958949,0.6841695580507146,2020-03-06,Kuwait,3.167756702905638,1.7445663771060993,3.754166798015122,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-07,8.752151524948356,0.0063506515642948414,2.6947156752264694,1.1234210780860847,0.8495211052069386,2020-03-07,Kuwait,2.9251892737493654,1.9792928348573193,4.7935658552337195,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-08,8.940182297159566,0.00863515823370566,2.693583308036394,2.1727515211681907,0.8878777098453051,2020-03-08,Kuwait,8.601159360682745,3.069264389247203,2.801653518665161,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-09,9.789138777840977,0.011161257326147006,2.692044962391731,3.007661343580527,0.994740296677224,2020-03-09,Kuwait,12.831555433280439,4.0135628975839,1.7620129826731814,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-10,12.138283904557042,0.013723977147652932,2.690001086155457,3.1410528627383925,1.2535165385375853,2020-03-10,Kuwait,12.613740803482795,4.4082933784236324,3.3216971477097785,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-11,15.56220794728847,0.01655767813736912,2.687337782906039,2.873532060770499,1.6229403364737383,2020-03-11,Kuwait,9.76517925005304,4.513030075381609,6.536147796525258,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-12,18.37506316100577,0.02033468355273398,2.6839263118860552,3.2908438302995324,1.9374800378669412,2020-03-12,Kuwait,10.907277990590716,5.248658551719208,7.877746057567354,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-13,19.836533037084585,0.025430824265785353,2.6796228188810116,4.906553397785922,2.123924410019691,2020-03-13,Kuwait,19.097404553173163,7.055908632071398,5.7247157729417895,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-14,22.290678296388908,0.031191866070543507,2.6742683581330504,6.321356198970041,2.416266156314222,2020-03-14,Kuwait,25.785094491388552,8.768814221354802,4.753049853679301,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-15,26.910794821768572,0.03738251173019335,2.66768927279265,6.868815854748179,2.9333375828060873,2020-03-15,Kuwait,26.91063463295878,9.83953594928445,7.231722923199661,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-16,33.32930000786504,0.044323719664520686,2.6596980071569214,6.856652016604313,3.64002825776014,2020-03-16,Kuwait,24.28051694994987,10.541003994028955,12.247292019807109,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-17,39.63773276111143,0.05289270394991216,2.6500944269307536,7.566740366610114,4.3472850116505395,2020-03-17,Kuwait,25.567438558771943,11.96691808221053,15.703896596690338,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-18,44.179954952152904,0.0639245859265084,2.6386677226645507,10.148603813416857,4.8890969113782115,2020-03-18,Kuwait,37.51189292642827,15.101625310721582,13.97670433070974,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-19,49.947424765619104,0.07668622174096051,2.6251989649075167,12.83943487548187,5.570095024973425,2020-03-19,Kuwait,49.45702298118893,18.48621612219626,12.974992521226588,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-20,58.83189384025326,0.09085381414237946,2.6094643659664176,14.559957744387475,6.589444996765231,2020-03-20,Kuwait,55.03858795611829,21.240256555295094,16.351380729663084,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-21,70.70667827385213,0.1068805645292302,2.5912392811072107,15.542422123529208,7.938288744543421,2020-03-21,Kuwait,55.51001317876294,23.58759143260187,23.531495408648407,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-22,83.4408409212014,0.12599230362174238,2.570302950582352,17.32222802490812,9.401070109376487,2020-03-22,Kuwait,59.687612641050684,26.849290437906372,29.74226004538867,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-23,94.90599099839427,0.14949280552514072,2.546443942678408,21.470444476379853,10.76005604610485,2020-03-23,Kuwait,76.40204626335753,32.379993328009846,30.146004342374585,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-24,108.54323925366349,0.1767597570864113,2.5194662077186862,25.985692219404022,12.381845364960363,2020-03-24,Kuwait,93.84021937299774,38.5442973414508,31.454644570761886,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-25,126.1980779650187,0.20779779243945626,2.48919559558952,29.86928333425266,14.477604696245418,2020-03-25,Kuwait,106.36641991985921,44.554685822937536,37.08870631914364,10.0,20.0,0.5,1.0,0.04619846347007992
