,retail/recreation,grocery/pharmacy,parks,transit_stations,workplace,residential,Date,CountryName,ConfirmedCases,ConfirmedDeaths,density,population,population_p65,population_p14,Tests,gdp,area,region,day_of_week,%ConfirmedCases,%ConfirmedCases_smooth,%ConfirmedDeaths,%ConfirmedDeaths_smooth,Days_since_ConfirmedCases,grocery/pharmacy_15days,grocery/pharmacy_10days,grocery/pharmacy_5days,grocery/pharmacy_30days,parks_15days,parks_10days,parks_5days,parks_30days,residential_15days,residential_10days,residential_5days,residential_30days,retail/recreation_15days,retail/recreation_10days,retail/recreation_5days,retail/recreation_30days,transit_stations_15days,transit_stations_10days,transit_stations_5days,transit_stations_30days,workplace_15days,workplace_10days,workplace_5days,workplace_30days,Days_since_Peak_RateCases
2554,-50.40026120197174,16.866029358396037,12.813626537428595,-32.18681205287321,-44.40306842382202,16.865199999999998,2020-03-16,Luxembourg,77.0,1.0,245,596336,14,16,77.0,55100.0,2586,4,0,0.23376623376623376,0.23423092914618335,0.0,0.3333333333333333,16,10.698898117051757,13.265729082978885,19.012039844973067,-2.8384945688043843,8.11766911508627,12.179271365352083,14.257413215535141,14.006972548550246,21.586888888888907,21.442593333333253,20.97304000000001,20.695290534502764,-10.474534091910519,-14.160943385512814,-25.86002383423834,-32.10546040624079,-5.301976234095749,-7.875249391987715,-14.525967406925417,-25.937492340358823,-5.405455415810326,-8.196857055791424,-15.322533012102426,-23.778954746106496,2
2555,-62.579995680332644,3.2972968787862875,-6.233634781199063,-44.54108700322182,-53.98307759467095,15.906366666666665,2020-03-17,Luxembourg,140.0,1.0,245,596336,14,16,140.0,55100.0,2586,4,1,0.45,0.27311981803507224,0.0,0.0,17,10.447713150985942,12.916705859406639,15.152700131308771,-1.7497248751992354,7.732617159892581,7.2097604660792936,12.59537419699852,13.693697100444714,21.2003977777778,20.83322999999992,19.754313333333346,20.483215094002308,-14.453800015759949,-20.649048424197197,-37.059294918590176,-32.05907663393589,-8.307649015249952,-13.091685758668955,-22.32262053609678,-25.422008098073647,-9.020449788559818,-13.705281716364036,-25.59339272649036,-23.82634660976503,3
2556,-71.43652103550896,-14.097723273832305,-34.86422984501909,-56.176698877664926,-62.46191775446472,14.316866666666666,2020-03-18,Luxembourg,203.0,2.0,245,596336,14,16,203.0,55100.0,2586,4,2,0.3103448275862069,0.33137035378414686,0.5,0.16666666666666666,18,8.981351723692605,10.562024714241726,2.240738583957982,-1.3392548520443188,5.02243972772494,2.9895826022833836,4.982163208863026,12.285948042183282,20.68818888888891,20.064916666666583,18.21768666666668,20.220380135705756,-19.068947933939896,-27.76420897944082,-48.879907112919845,-32.335874660609825,-12.063711804088753,-18.45385770339614,-31.23179935891627,-25.355430353173638,-13.229075830226604,-19.688595589537382,-36.720681399403205,-24.150525977926392,4
2557,-77.56220392157286,-28.714948717775545,-35.71746997300511,-63.7799459126071,-68.54736787485672,22.0,2020-03-19,Luxembourg,335.0,4.0,245,596336,14,16,335.0,55100.0,2586,4,3,0.3940298507462687,0.38479155944415844,0.5,0.3333333333333333,19,6.674561773002151,7.1207379645616795,-4.679789411848576,-1.2506669898163125,2.7689579538052382,-1.4516152946655312,-2.6998447126689302,11.75297828564475,20.68818888888891,20.064916666666583,18.21768666666668,20.15099842363147,-23.998093103897933,-35.33290025420842,-58.263445627181,-32.71148905392385,-16.290283922964825,-24.57635435161754,-40.87422282729731,-25.392631956333712,-17.77068592228372,-26.514311817434486,-48.74148085698189,-24.64256377395443,5
2558,-80.48459973806189,-29.040724812274327,-39.618335173519505,-68.08631607201849,-70.81097152276514,22.0,2020-03-20,Luxembourg,484.0,4.0,245,596336,14,16,484.0,55100.0,2586,4,4,0.30785123966942146,0.33740863933396564,0.0,0.3333333333333333,20,4.733452852657668,3.610895905675213,-10.33801411333992,-1.1944541031806617,0.5707245984292092,-5.01268690574935,-20.724008647062753,11.130475976209306,20.68818888888891,20.10884333333325,18.21768666666668,20.068822908589816,-28.996455029630702,-42.82368243642958,-68.49271631548972,-33.1988456699319,-20.721478728113205,-30.891936620009755,-52.95417198367708,-25.58731809749148,-22.472285284517078,-33.504800333662246,-60.04128063411567,-25.184197534902694,6
2559,-87.69682472058962,-48.069369749442686,-69.23106576927526,-72.302152309939,-63.13906414486468,15.036266666666664,2020-03-21,Luxembourg,670.0,8.0,245,596336,14,16,670.0,55100.0,2586,4,5,0.27761194029850744,0.3264976769047325,0.5,0.3333333333333333,21,1.068788077016678,-2.156527044967306,-23.325093934907663,-1.993079529712278,-4.258134792566367,-11.437766946434433,-37.13294710840353,9.193843619129728,20.245695555555574,19.41246999999992,17.85190000000001,19.734096791576412,-34.757971930079776,-50.90602642672549,-75.9520290192133,-33.96850284910677,-25.575912939688575,-37.75160372100779,-60.97724003509023,-25.994875095417072,-26.727397963302597,-39.55550639521349,-63.7884797783242,-25.527364505723497,7
2560,-87.21794135214815,-60.89403595496661,-33.66779581940014,-68.08311133143475,-58.41516194516973,22.0,2020-03-22,Luxembourg,798.0,8.0,245,596336,14,16,798.0,55100.0,2586,4,6,0.16040100250626566,0.24862139415806483,0.0,0.16666666666666666,22,-3.443316260948346,-10.505330185174744,-36.16336050165824,-3.113367505404961,-9.40008612796163,-15.012202559522853,-42.61977931604374,7.960260067975942,20.245695555555574,19.41246999999992,19.070626666666676,20.038096453657115,-40.72590500065707,-58.96945653608295,-80.87961815357639,-34.63833107139484,-30.623005472690263,-44.004132718414766,-65.68564490073281,-26.468017699743392,-30.695153360384257,-45.134144687457336,-64.67489664842397,-26.33574510087942,8
2561,-80.44516228419023,-34.339330659935456,-47.59245329271415,-74.1056200734432,-75.58646582839533,22.0,2020-03-23,Luxembourg,875.0,8.0,245,596336,14,16,875.0,55100.0,2586,4,0,0.088,0.175337647601591,0.0,0.16666666666666666,23,-6.362544183465164,-18.985471697460454,-40.21168197887887,-3.3873510540821865,-13.06208626700524,-20.091630398360106,-45.16542400558275,4.213184464492473,20.245695555555574,19.41246999999992,20.607253333333343,20.503034469803747,-46.069921454064904,-65.78062675811591,-82.68134640331265,-35.2271578709333,-35.393048182226934,-50.25161424940233,-69.27142913988847,-27.298100806235997,-35.55899914742853,-52.01024383130682,-67.29980626321009,-27.910035451253027,9
2562,-81.23069197763374,-38.03277759538168,-42.744246411636965,-73.46787669727735,-76.73116567883336,22.0,2020-03-24,Luxembourg,1099.0,8.0,245,596336,14,16,1099.0,55100.0,2586,4,1,0.20382165605095542,0.15074088618574033,0.0,0.0,24,-9.277923941758939,-23.377518583124345,-42.075247754400095,-3.8465971891787003,-16.49133662754664,-24.635312002989274,-46.57077929330912,0.23902811896124423,20.245695555555574,19.41246999999992,20.607253333333343,20.591076934156277,-51.36028150764737,-70.83924482085258,-83.41504401452482,-35.98860793234819,-40.12057466668588,-56.041619062059866,-71.20901529682251,-28.02818859733185,-40.65506315295838,-58.839023340493824,-68.93656582400541,-28.73953678016977,10
2563,-82.75507029667261,-37.646116162833366,-49.04035197143741,-73.72185238853938,-77.12536161324476,22.0,2020-03-25,Luxembourg,1333.0,8.0,245,596336,14,16,1333.0,55100.0,2586,4,2,0.17554388597149287,0.15578851400748273,0.0,0.0,25,-12.191511404387187,-27.067170068925925,-43.796326024511906,-4.61779424191958,-19.493518821463713,-34.589595649977966,-48.4551826528927,-4.386566857924889,20.27498000000002,19.41246999999992,20.607253333333343,20.70242827988069,-56.505500999702186,-76.18092722086801,-83.86913812624697,-36.886231057221785,-44.70666526671541,-62.64514727190184,-72.33612256012671,-28.83793480233108,-45.736348169808856,-65.12036223810868,-70.19944384210133,-29.550718912312366,11
