,CountryName,Date,ConfirmedCases,ConfirmedDeaths,Days_since_ConfirmedCases,Days_since_ConfirmedDeaths,Days_since_S1_School closing_1.0,Days_since_S1_School closing_2.0,Days_since_S2_Workplace closing_1.0,Days_since_S2_Workplace closing_2.0,Days_since_S3_Cancel public events_1.0,Days_since_S3_Cancel public events_2.0,Days_since_S4_Close public transport_1.0,Days_since_S4_Close public transport_2.0,Days_since_S5_Public information campaigns_1.0,Days_since_S6_Restrictions on internal movement_1.0,Days_since_S6_Restrictions on internal movement_2.0,Days_since_S7_International travel controls_1.0,Days_since_S7_International travel controls_2.0,Days_since_S7_International travel controls_3.0,%ConfirmedCases,%ConfirmedCases_smooth,%ConfirmedDeaths,%ConfirmedDeaths_smooth,Days,Days_since_100Cases,density,population,population_p65,population_p14,Tests,gdp,area,region,day_of_week
0,Qatar,2020-01-22,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,234,2724724,1,13,0.0,21500.0,11437,8,2
1,Qatar,2020-01-23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,22,0,234,2724724,1,13,175.0,21500.0,11437,8,3
2,Qatar,2020-01-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,23,0,234,2724724,1,13,350.0,21500.0,11437,8,4
3,Qatar,2020-01-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0.0,0.0,0.0,0.0,24,0,234,2724724,1,13,525.0,21500.0,11437,8,5
4,Qatar,2020-01-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0.0,0.0,0.0,0.0,25,0,234,2724724,1,13,700.0,21500.0,11437,8,6
5,Qatar,2020-01-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0.0,0.0,0.0,0.0,26,0,234,2724724,1,13,875.0,21500.0,11437,8,0
6,Qatar,2020-01-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0.0,0.0,0.0,0.0,27,0,234,2724724,1,13,1050.0,21500.0,11437,8,1
7,Qatar,2020-01-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0.0,0.0,0.0,0.0,28,0,234,2724724,1,13,1225.0,21500.0,11437,8,2
8,Qatar,2020-01-30,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0.0,0.0,0.0,0.0,29,0,234,2724724,1,13,1400.0,21500.0,11437,8,3
9,Qatar,2020-01-31,0.0,0.0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0.0,0.0,0.0,0.0,30,0,234,2724724,1,13,1575.0,21500.0,11437,8,4
10,Qatar,2020-02-01,0.0,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0.0,0.0,0.0,0.0,31,0,234,2724724,1,13,1750.0,21500.0,11437,8,5
11,Qatar,2020-02-02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0.0,0.0,0.0,0.0,32,0,234,2724724,1,13,1925.0,21500.0,11437,8,6
12,Qatar,2020-02-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,1,0.0,0.0,0.0,0.0,33,0,234,2724724,1,13,2100.0,21500.0,11437,8,0
13,Qatar,2020-02-04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,0,2,0.0,0.0,0.0,0.0,34,0,234,2724724,1,13,2275.0,21500.0,11437,8,1
14,Qatar,2020-02-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,0,3,0.0,0.0,0.0,0.0,35,0,234,2724724,1,13,2450.0,21500.0,11437,8,2
15,Qatar,2020-02-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,15,0,0,9,0,4,0.0,0.0,0.0,0.0,36,0,234,2724724,1,13,2625.0,21500.0,11437,8,3
16,Qatar,2020-02-07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16,0,0,9,0,5,0.0,0.0,0.0,0.0,37,0,234,2724724,1,13,2800.0,21500.0,11437,8,4
17,Qatar,2020-02-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,17,0,0,9,0,6,0.0,0.0,0.0,0.0,38,0,234,2724724,1,13,2975.0,21500.0,11437,8,5
18,Qatar,2020-02-09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,0,7,0.0,0.0,0.0,0.0,39,0,234,2724724,1,13,3150.0,21500.0,11437,8,6
19,Qatar,2020-02-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,19,0,0,9,0,8,0.0,0.0,0.0,0.0,40,0,234,2724724,1,13,3325.0,21500.0,11437,8,0
20,Qatar,2020-02-11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,20,0,0,9,0,9,0.0,0.0,0.0,0.0,41,0,234,2724724,1,13,3500.0,21500.0,11437,8,1
21,Qatar,2020-02-12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,21,0,0,9,0,10,0.0,0.0,0.0,0.0,42,0,234,2724724,1,13,3675.0,21500.0,11437,8,2
22,Qatar,2020-02-13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,22,0,0,9,0,11,0.0,0.0,0.0,0.0,43,0,234,2724724,1,13,3850.0,21500.0,11437,8,3
23,Qatar,2020-02-14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,12,0.0,0.0,0.0,0.0,44,0,234,2724724,1,13,4025.0,21500.0,11437,8,4
24,Qatar,2020-02-15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,24,0,0,9,0,13,0.0,0.0,0.0,0.0,45,0,234,2724724,1,13,4200.0,21500.0,11437,8,5
25,Qatar,2020-02-16,0.0,0.0,0,0,0,0,0,0,0,0,0,0,25,0,0,9,0,14,0.0,0.0,0.0,0.0,46,0,234,2724724,1,13,4375.0,21500.0,11437,8,6
26,Qatar,2020-02-17,0.0,0.0,0,0,0,0,0,0,0,0,0,0,26,0,0,9,0,15,0.0,0.0,0.0,0.0,47,0,234,2724724,1,13,4550.0,21500.0,11437,8,0
27,Qatar,2020-02-18,0.0,0.0,0,0,0,0,0,0,0,0,0,0,27,0,0,9,0,16,0.0,0.0,0.0,0.0,48,0,234,2724724,1,13,4725.0,21500.0,11437,8,1
28,Qatar,2020-02-19,0.0,0.0,0,0,0,0,0,0,0,0,0,0,28,0,0,9,0,17,0.0,0.0,0.0,0.0,49,0,234,2724724,1,13,4900.0,21500.0,11437,8,2
29,Qatar,2020-02-20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29,0,0,9,0,18,0.0,0.0,0.0,0.0,50,0,234,2724724,1,13,5075.0,21500.0,11437,8,3
30,Qatar,2020-02-21,0.0,0.0,0,0,0,0,0,0,0,0,0,0,30,0,0,9,0,19,0.0,0.0,0.0,0.0,51,0,234,2724724,1,13,5250.0,21500.0,11437,8,4
31,Qatar,2020-02-22,0.0,0.0,0,0,0,0,0,0,0,0,0,0,31,0,0,9,0,20,0.0,0.0,0.0,0.0,52,0,234,2724724,1,13,5425.0,21500.0,11437,8,5
32,Qatar,2020-02-23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32,0,0,9,0,21,0.0,0.0,0.0,0.0,53,0,234,2724724,1,13,5600.0,21500.0,11437,8,6
33,Qatar,2020-02-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0,33,0,0,9,0,22,0.0,0.0,0.0,0.0,54,0,234,2724724,1,13,5775.0,21500.0,11437,8,0
34,Qatar,2020-02-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,34,0,0,9,0,23,0.0,0.0,0.0,0.0,55,0,234,2724724,1,13,5950.0,21500.0,11437,8,1
35,Qatar,2020-02-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0,35,0,0,9,0,24,0.0,0.0,0.0,0.0,56,0,234,2724724,1,13,6125.0,21500.0,11437,8,2
36,Qatar,2020-02-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0,36,0,0,9,0,25,0.0,0.0,0.0,0.0,57,0,234,2724724,1,13,6300.0,21500.0,11437,8,3
37,Qatar,2020-02-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0,37,0,0,9,0,26,0.0,0.0,0.0,0.0,58,0,234,2724724,1,13,6475.0,21500.0,11437,8,4
38,Qatar,2020-02-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0,38,0,0,9,0,27,0.0,0.0,0.0,0.0,59,0,234,2724724,1,13,6650.0,21500.0,11437,8,5
39,Qatar,2020-03-01,1.0,0.0,0,0,0,0,0,0,0,0,0,0,39,0,0,9,0,28,0.0,0.0,0.0,0.0,60,0,234,2724724,1,13,6825.0,21500.0,11437,8,6
40,Qatar,2020-03-02,3.0,0.0,1,0,0,0,0,0,0,1,0,0,40,0,0,9,0,29,2.0,0.0,0.0,0.0,61,0,234,2724724,1,13,7000.0,21500.0,11437,8,0
41,Qatar,2020-03-08,12.0,0.0,4,0,0,0,0,0,0,7,0,0,46,0,0,9,0,35,0.09090909090909091,0.022727272727272728,0.0,0.0,67,0,234,2724724,1,13,7175.0,21500.0,11437,8,6
42,Qatar,2020-03-09,15.0,0.0,5,0,0,0,0,0,0,8,0,0,47,0,0,9,0,36,0.25,0.08522727272727273,0.0,0.0,68,0,234,2724724,1,13,7350.0,21500.0,11437,8,0
43,Qatar,2020-03-10,18.0,0.0,6,0,0,0,0,0,0,9,0,0,48,0,0,9,0,37,0.2,0.13522727272727275,0.0,0.0,69,0,234,2724724,1,13,7525.0,21500.0,11437,8,1
44,Qatar,2020-03-11,24.0,0.0,7,0,0,1,0,0,0,10,0,0,49,0,0,9,0,38,0.3333333333333333,0.21856060606060607,0.0,0.0,70,0,234,2724724,1,13,7700.0,21500.0,11437,8,2
45,Qatar,2020-03-12,262.0,0.0,8,0,0,2,0,0,0,11,0,0,50,0,0,9,0,39,9.916666666666666,2.675,0.0,0.0,71,1,234,2724724,1,13,7875.0,21500.0,11437,8,3
46,Qatar,2020-03-15,337.0,0.0,10,0,0,5,0,0,0,14,0,0,53,0,0,9,0,42,0.053125,2.4924479166666664,0.0,0.0,74,3,234,2724724,1,13,8050.0,21500.0,11437,8,6
47,Qatar,2020-03-16,401.0,0.0,11,0,0,6,0,0,0,15,0,1,54,0,0,9,0,43,0.18991097922848665,0.060758994807121665,0.0,0.0,75,4,234,2724724,1,13,8225.0,21500.0,11437,8,0
48,Qatar,2020-03-17,439.0,0.0,12,0,0,7,0,0,0,16,0,2,55,0,1,9,0,44,0.09476309226932668,0.08444976787445334,0.0,0.0,76,5,234,2724724,1,13,8400.0,21500.0,11437,8,1
49,Qatar,2020-03-18,442.0,0.0,13,0,0,8,0,1,0,17,0,3,56,0,2,9,0,45,0.00683371298405467,0.086158196120467,0.0,0.0,77,6,234,2724724,1,13,8400.0,21500.0,11437,8,2
50,Qatar,2020-03-19,452.0,0.0,14,0,0,9,0,2,0,18,0,4,57,0,3,9,0,46,0.02262443438914027,0.07853305471775206,0.0,0.0,78,7,234,2724724,1,13,8400.0,21500.0,11437,8,3
51,Qatar,2020-03-20,460.0,0.0,15,0,0,10,0,3,0,19,0,5,58,1,3,9,0,47,0.017699115044247787,0.035480088671692354,0.0,0.0,79,8,234,2724724,1,13,8400.0,21500.0,11437,8,4
52,Qatar,2020-03-21,470.0,0.0,16,0,0,11,0,4,0,20,0,6,59,1,4,9,0,48,0.021739130434782608,0.017224098213056333,0.0,0.0,80,9,234,2724724,1,13,8400.0,21500.0,11437,8,5
53,Qatar,2020-03-22,481.0,0.0,17,0,0,12,0,5,0,21,0,7,60,1,5,9,0,49,0.023404255319148935,0.0213667337968299,0.0,0.0,81,10,234,2724724,1,13,8400.0,21500.0,11437,8,6
54,Qatar,2020-03-23,494.0,0.0,18,0,0,13,0,6,0,22,0,8,61,1,6,9,0,50,0.02702702702702703,0.022467381956301588,0.0,0.0,82,11,234,2724724,1,13,8400.0,21500.0,11437,8,0
55,Qatar,2020-03-24,501.0,0.0,19,0,0,14,0,7,0,23,0,9,62,1,7,9,0,51,0.01417004048582996,0.02158511331669713,0.0,0.0,83,12,234,2724724,1,13,8400.0,21500.0,11437,8,1
56,Qatar,2020-03-25,526.0,0.0,20,0,0,15,0,8,0,24,0,10,63,1,8,9,0,52,0.0499001996007984,0.028625380608201082,0.0,0.0,84,13,234,2724724,1,13,8400.0,21500.0,11437,8,2
57,Qatar,2020-03-26,537.0,0.0,21,0,0,16,0,9,0,25,0,11,64,1,9,9,0,53,0.02091254752851711,0.028002453660543127,0.0,0.0,85,14,234,2724724,1,13,8400.0,21500.0,11437,8,3
58,Qatar,2020-03-27,549.0,0.0,22,0,0,17,0,10,0,26,0,12,65,1,10,9,0,54,0.0223463687150838,0.026832289082557317,0.0,0.0,86,15,234,2724724,1,13,8400.0,21500.0,11437,8,4
59,Qatar,2020-03-28,562.0,0.0,23,0,0,18,0,11,0,27,0,13,66,1,11,9,0,55,0.023679417122040074,0.02920963324160985,0.0,0.0,87,16,234,2724724,1,13,8400.0,21500.0,11437,8,5
60,Qatar,2020-03-29,590.0,1.0,24,0,0,19,0,12,0,28,0,14,67,1,12,9,0,56,0.0498220640569395,0.02919009935564512,0.0,0.0,88,17,234,2724724,1,13,8400.0,21500.0,11437,8,6
