,driving,public_transport,walking
2020-06-29,107.34,77.03,111.19
2020-06-30,108.93,75.18,113.4
2020-07-01,111.35,82.91,128.2
2020-07-02,112.97,82.15,117.14
2020-07-03,119.96,82.44,132.18
2020-07-04,101.64,69.93,134.45
2020-07-05,94.36,68.96,86.69
2020-07-06,108.72,82.61,113.48
2020-07-07,110.17,84.25,125.78
2020-07-08,117.88,79.5,125.63
2020-07-09,117.03,83.58,132.52
2020-07-10,123.72,85.01,125.48
2020-07-11,107.26,75.18,141.17
2020-07-12,101.98,74.72,111.04
2020-07-13,114.42,91.26,131.9
2020-07-14,119.6,91.6,144.24
2020-07-15,114.37,80.05,122.65
2020-07-16,114.4,84.59,122.27
2020-07-17,123.76,76.86,129.84
2020-07-18,107.71,71.27,125.59
2020-07-19,102.89,68.84,101.64
2020-07-20,114.38,94.58,127.82
2020-07-21,117.52,88.45,138.6
2020-07-22,115.95,85.97,125.76
2020-07-23,111.6,77.36,121.67
2020-07-24,118.15,74.09,118.55
2020-07-25,100.11,61.7,121.35
2020-07-26,96.1,65.69,98.23
2020-07-27,113.36,81.94,120.37
2020-07-28,107.36,74.97,125.37
