,ALL,N,T,U,K,L,M,O,A,R,S,G,F,P,I,C,B,J,E,D,Q,H
2020-04-09,0.9397224767136787,0.8031799360037538,0.46986123835683935,0.46986123835683935,0.53835221989897,0.46986123835683935,0.639138244895597,0.46986123835683935,0.46986123835683935,0.46986123835683935,0.46986123835683935,0.721336186687608,0.46986123835683935,0.46986123835683935,0.46986123835683935,0.46986123835683935,0.46986123835683935,0.46986123835683935,0.46986123835683935,0.46986123835683935,0.7480516923880688,0.46986123835683935
2020-04-10,0.896183516187367,0.7642449421501483,0.4480917580936835,0.4480917580936835,0.46869632179708937,0.4480917580936835,0.5733446302187184,0.4480917580936835,0.4480917580936835,0.4480917580936835,0.4480917580936835,0.6377455446564768,0.4480917580936835,0.4480917580936835,0.4480917580936835,0.4480917580936835,0.4480917580936835,0.4480917580936835,0.4480917580936835,0.4480917580936835,0.6515756625839807,0.4480917580936835
2020-04-11,0.8402716793846713,0.7977794345175553,0.42013583969233564,0.42013583969233564,0.4685268209308313,0.42013583969233564,0.5108867520731692,0.42013583969233564,0.42013583969233564,0.42013583969233564,0.42013583969233564,0.5735654958271312,0.42013583969233564,0.42013583969233564,0.42013583969233564,0.42013583969233564,0.42013583969233564,0.42013583969233564,0.42013583969233564,0.42013583969233564,0.6425777887605828,0.42013583969233564
2020-04-12,0.7940883106047978,0.9002362285109377,0.3970441553023989,0.3970441553023989,0.546414771013974,0.3970441553023989,0.47619151422347217,0.3970441553023989,0.3970441553023989,0.3970441553023989,0.3970441553023989,0.5757913787251401,0.3970441553023989,0.3970441553023989,0.3970441553023989,0.3970441553023989,0.3970441553023989,0.3970441553023989,0.3970441553023989,0.3970441553023989,0.76433553844022,0.3970441553023989
2020-04-13,0.7723409955825181,1.0043210728133134,0.38617049779125906,0.38617049779125906,0.6836816908089742,0.38617049779125906,0.5070487206140846,0.38617049779125906,0.38617049779125906,0.38617049779125906,0.38617049779125906,0.6343079766802265,0.38617049779125906,0.38617049779125906,0.38617049779125906,0.38617049779125906,0.38617049779125906,0.38617049779125906,0.38617049779125906,0.38617049779125906,0.9710072230004696,0.38617049779125906
2020-04-14,0.7781673269573337,1.0443863839096326,0.38908366347866685,0.38908366347866685,0.8352838294381573,0.38908366347866685,0.584507259398038,0.38908366347866685,0.38908366347866685,0.38908366347866685,0.38908366347866685,0.7048999545119125,0.38908366347866685,0.38908366347866685,0.38908366347866685,0.38908366347866685,0.38908366347866685,0.38908366347866685,0.38908366347866685,0.38908366347866685,1.1616020981205586,0.38908366347866685
2020-04-15,0.8040348332782771,0.9827041655658639,0.40201741663913854,0.40201741663913854,0.934003567463221,0.40201741663913854,0.6623047486781125,0.40201741663913854,0.40201741663913854,0.40201741663913854,0.40201741663913854,0.7298589004313751,0.40201741663913854,0.40201741663913854,0.40201741663913854,0.40201741663913854,0.40201741663913854,0.40201741663913854,0.40201741663913854,0.40201741663913854,1.2317891165242,0.40201741663913854
2020-04-16,0.82734644490167,0.8308416877364899,0.413673222450835,0.413673222450835,0.9421224449064849,0.413673222450835,0.7102538348885357,0.413673222450835,0.413673222450835,0.413673222450835,0.413673222450835,0.695509960207378,0.413673222450835,0.413673222450835,0.413673222450835,0.413673222450835,0.413673222450835,0.413673222450835,0.413673222450835,0.413673222450835,1.1559623103012895,0.413673222450835
2020-04-17,0.8331786201781357,0.6760011519234255,0.41658931008906785,0.41658931008906785,0.8628577224413716,0.41658931008906785,0.7153925774754661,0.41658931008906785,0.41658931008906785,0.41658931008906785,0.41658931008906785,0.6158906129312618,0.41658931008906785,0.41658931008906785,0.41658931008906785,0.41658931008906785,0.41658931008906785,0.41658931008906785,0.41658931008906785,0.41658931008906785,0.9547269586091097,0.41658931008906785
2020-04-18,0.822688738735314,0.590814897706828,0.411344369367657,0.411344369367657,0.7220387801721004,0.411344369367657,0.6711486399058411,0.411344369367657,0.411344369367657,0.411344369367657,0.411344369367657,0.5189774469476068,0.411344369367657,0.411344369367657,0.411344369367657,0.411344369367657,0.411344369367657,0.411344369367657,0.411344369367657,0.411344369367657,0.7221510568052594,0.411344369367657
2020-04-19,0.803544804427962,0.6137955896169579,0.401772402213981,0.401772402213981,0.6209929163097841,0.401772402213981,0.6252601650559357,0.401772402213981,0.401772402213981,0.401772402213981,0.401772402213981,0.44882821138969303,0.401772402213981,0.401772402213981,0.401772402213981,0.401772402213981,0.401772402213981,0.401772402213981,0.401772402213981,0.401772402213981,0.5736284865521095,0.401772402213981
2020-04-20,0.7871782698194286,0.6979270369521842,0.3935891349097143,0.3935891349097143,0.5978160241052767,0.3935891349097143,0.5846775589885606,0.3935891349097143,0.3935891349097143,0.3935891349097143,0.3935891349097143,0.41986117611352347,0.3935891349097143,0.3935891349097143,0.3935891349097143,0.3935891349097143,0.3935891349097143,0.3935891349097143,0.3935891349097143,0.3935891349097143,0.5769312442265437,0.3935891349097143
2020-04-21,0.7776682986697437,0.784704808991372,0.38883414933487187,0.38883414933487187,0.647805382750178,0.38883414933487187,0.571437212546913,0.38883414933487187,0.38883414933487187,0.38883414933487187,0.38883414933487187,0.4109431088918225,0.38883414933487187,0.38883414933487187,0.38883414933487187,0.38883414933487187,0.38883414933487187,0.38883414933487187,0.38883414933487187,0.38883414933487187,0.6947455781441196,0.38883414933487187
2020-04-22,0.7693269527285186,0.8121446425586158,0.3846634763642593,0.3846634763642593,0.7187538531197524,0.3846634763642593,0.5734744610814206,0.3846634763642593,0.3846634763642593,0.3846634763642593,0.3846634763642593,0.40700778096283885,0.3846634763642593,0.3846634763642593,0.3846634763642593,0.3846634763642593,0.3846634763642593,0.3846634763642593,0.3846634763642593,0.3846634763642593,0.8567308014359143,0.3846634763642593
2020-04-23,0.758202510594318,0.7822557954216804,0.379101255297159,0.379101255297159,0.7514638665528215,0.379101255297159,0.590924254014469,0.379101255297159,0.379101255297159,0.379101255297159,0.379101255297159,0.39805341337143163,0.379101255297159,0.379101255297159,0.379101255297159,0.379101255297159,0.379101255297159,0.379101255297159,0.379101255297159,0.379101255297159,0.970076683406967,0.379101255297159
2020-04-24,0.7410300846765393,0.7142337447926073,0.37051504233826965,0.37051504233826965,0.7261309813053748,0.37051504233826965,0.6122860596813875,0.37051504233826965,0.37051504233826965,0.37051504233826965,0.37051504233826965,0.39606783620415825,0.37051504233826965,0.37051504233826965,0.37051504233826965,0.37051504233826965,0.37051504233826965,0.37051504233826965,0.37051504233826965,0.37051504233826965,0.980803883807807,0.37051504233826965
2020-04-25,0.7196872930766947,0.6404078619222189,0.35984364653834733,0.35984364653834733,0.6543539453165665,0.35984364653834733,0.6339608251816727,0.35984364653834733,0.35984364653834733,0.35984364653834733,0.35984364653834733,0.4079739348249,0.35984364653834733,0.35984364653834733,0.35984364653834733,0.35984364653834733,0.35984364653834733,0.35984364653834733,0.35984364653834733,0.35984364653834733,0.8878613497324899,0.35984364653834733
2020-04-26,0.7060153411051255,0.5855248295974758,0.35300767055256277,0.35300767055256277,0.5556706823494528,0.35300767055256277,0.642328361382847,0.35300767055256277,0.35300767055256277,0.35300767055256277,0.35300767055256277,0.4857897189561049,0.35300767055256277,0.35300767055256277,0.35300767055256277,0.35300767055256277,0.35300767055256277,0.35300767055256277,0.35300767055256277,0.35300767055256277,0.7262656794476874,0.35300767055256277
2020-04-27,0.704395173626453,0.5539749242696291,0.3521975868132265,0.3521975868132265,0.4945472492852174,0.3521975868132265,0.641915665089522,0.3521975868132265,0.3521975868132265,0.3521975868132265,0.3521975868132265,0.6548068628385719,0.3521975868132265,0.3521975868132265,0.3521975868132265,0.3521975868132265,0.3521975868132265,0.3521975868132265,0.3521975868132265,0.3521975868132265,0.55860823780734,0.3521975868132265
2020-04-28,0.7105843863079765,0.5202174131787962,0.35529219315398824,0.35529219315398824,0.4948380776273708,0.35529219315398824,0.6245416200200526,0.35529219315398824,0.35529219315398824,0.35529219315398824,0.35529219315398824,0.895701746716207,0.35529219315398824,0.35529219315398824,0.35529219315398824,0.35529219315398824,0.35529219315398824,0.35529219315398824,0.35529219315398824,0.35529219315398824,0.44152896815723863,0.35529219315398824
